ID,Name,Lat,Lng,LineID
1,Observatorio,19.397486,-99.200669,Linea 1
2,Tacubaya,19.40213338,-99.18823957,Linea 1
3,Juanacatlán,19.41290022,-99.18207049,Linea 1
4,Chapultepec,19.42025648,-99.17658806,Linea 1
5,Sevilla,19.42189565,-99.17074084,Linea 1
6,Insurgentes,19.42359552, -99.16325212,Linea 1
7,Cuauhtémoc,19.42565962,-99.15455103,Linea 1
8,Balderas,19.42729875,-99.14912224,Linea 1
9,Salto del Agua,19.42698509,-99.14331794,Linea 1
10,Isabel la Católica,19.4260947,-99.13782477,Linea 1
11,Pino Suárez,19.42595305,-99.13268566,Linea 1
12,Merced,19.42546738,-99.12541151,Linea 1
13,Candelaria,19.42909974,-99.11989689,Linea 1
14,San Lázaro,19.43079953,-99.11457539,Linea 1
15,Moctezuma,19.426271,-99.109803,Linea 1
16,Balbuena,19.42288725,-99.10281658,Linea 1
17,Boulevard Pto. Aéreo,19.41958866,-99.09606814,Linea 1
18,Gómez Farías,19.41608763,-99.09070373,Linea 1
19,Zaragoza,19.41179726,-99.08322573,Linea 1
20,Pantitlán,19.41616858,-99.07434225,Linea 1
21,Cuatro Caminos,19.458454,-99.214643,Linea 2
22,Panteones,19.458219,-99.20294,Linea 2
23,Tacuba,19.45913691,-99.18803573,Linea 2
24,Cuitláhuac,19.45668,-99.181555,Linea 2
25,Popotla,19.45261196,-99.17546153,Linea 2
26,Colegio Militar,19.44864628,-99.17122364,Linea 2
27,Normal,19.44424548,-99.1671896,Linea 2
28,San Cosme,19.44185787,-99.16094542,Linea 2
29,Revolución,19.43880248,-99.15389657,Linea 2
30,Hidalgo,19.4376997,-99.14730906,Linea 2
31,Bellas Artes,19.43595951,-99.14155841,Linea 2
32,Allende,19.43547387,-99.13670897,Linea 2
33,Zócalo,19.432602,-99.131879,Linea 2
34,Pino Suárez,19.42543703,-99.13303971,Linea 2
35,San Antonio Abad,19.4159055,-99.13429499,Linea 2
36,Chabacano,19.40891333,-99.13542151,Linea 2
37,Viaducto,19.40074699,-99.13663387,Linea 2
38,Xola,19.3950293,-99.13758874,Linea 2
39,Villa de Cortés,19.38746949,-99.13862944,Linea 2
40,Nativitas,19.37938304,-99.13987398,Linea 2
41,Portales,19.36976784,-99.14130092,Linea 2
42,Ermita,19.36186271,-99.14263129,Linea 2
43,General Anaya,19.35319801,-99.14478779,Linea 2
44,Tasqueña,19.34400644,-99.14105415,Linea 2
45,Indios Verdes,19.495315,-99.119141,Linea 3
46,Deportivo 18 de Marzo,19.4840507,-99.12543297,Linea 3
47,Potrero,19.476413,-99.131748,Linea 3
48,La Raza,19.46907052,-99.13904786,Linea 3
49,Tlatelolco,19.45520174,-99.1430819,Linea 3
50,Guerrero,19.44475133,-99.14501309,Linea 3
51,Hidalgo,19.43674867,-99.14681554,Linea 3
52,Juárez,19.43336942,-99.14771676,Linea 3
53,Balderas,19.42692438,-99.1488111,Linea 3
54,Niños Héroes,19.41946724,-99.15023804,Linea 3
